AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
1.266,0.083,-50,9.241,0.197,-70,5.217,1.942,-65,1,8
1.227,0.104,-51,9.192,0.828,-65,7.6,0.362,-64,1,8
1.227,0.15,-52,9.661,0.343,-66,7.287,0.178,-66,1,8
1.148,0.196,-52,9.553,0.556,-70,7.17,0.204,-58,1,8
1.188,0.159,-51,9.573,0.251,-68,5.881,0.836,-58,1,8
1.031,0.208,-53,9.592,0.215,-70,7.561,0.81,-64,1,8
1.109,0.14,-54,10.1,0.145,-71,5.823,0.606,-61,1,8
1.227,0.146,-51,9.866,0.111,-69,7.483,0.209,-67,1,8
1.188,0.081,-52,9.866,0.195,-69,4.944,1.321,-66,1,8
1.109,0.164,-51,10.159,0.175,-69,5.764,0.863,-64,1,8
1.109,0.166,-50,10.217,0.088,-68,5.559,1.036,-61,1,8
1.148,0.181,-54,10.061,0.21,-69,5.149,1.201,-63,1,8
1.148,0.186,-54,9.983,0.207,-69,6.116,0.759,-59,1,8
1.344,0.12,-53,10.178,0.138,-69,5.676,1.021,-59,1,8
1.256,0.216,-53,10.022,0.189,-70,5.412,1.166,-57,1,8
1.07,0.141,-53,10.1,0.115,-70,5.969,0.831,-55,1,8
1.227,1.229,-53,10.217,0.088,-69,7.6,0.253,-61,1,8
1.227,0.138,-53,10.217,0.154,-69,6.233,0.626,-57,1,8
1.188,0.123,-53,10.1,0.153,-69,5.208,1.297,-59,1,8
1.285,0.151,-53,10.178,0.13,-69,6.35,0.625,-61,1,8
1.197,0.186,-53,10.1,0.224,-69,6.028,0.941,-57,1,8
1.168,0.279,-53,10.139,0.158,-70,5.5,1.098,-59,1,8
1.373,0.053,-53,10.1,0.185,-69,5.735,0.988,-61,1,8
1.256,0.123,-53,9.944,0.127,-69,5.295,1.336,-63,1,8
1.539,1.714,-48,10.178,0.114,-69,5.354,1.196,-64,1,8
1.314,0.166,-52,10.217,0.123,-70,4.856,1.405,-63,1,8
1.314,0.136,-53,10.295,0.14,-69,4.592,1.554,-63,1,8
1.109,0.147,-52,10.061,0.105,-70,5.969,0.909,-63,1,8
1.139,0.258,-52,10.188,0.126,-69,5.94,0.842,-61,1,8
1.188,0.123,-53,10.178,0.178,-69,5.764,0.92,-61,1,8
1.256,0.187,-53,10.256,0.146,-69,5.413,1.199,-63,1,8
1.139,0.229,-52,10.1,0.171,-69,5.559,1.115,-65,1,8
1.266,0.186,-53,10.305,0.183,-69,5.647,1.071,-63,1,8
1.314,0.182,-53,10.1,0.115,-69,5.647,1.085,-61,1,8
1.256,0.185,-53,10.178,0.088,-69,5.911,0.962,-63,1,8
1.149,0.137,-53,10.1,0.19,-71,5.647,1.147,-64,1,8
1.197,0.238,-53,10.295,0.215,-70,5.706,1.094,-63,1,8
1.16,0.348,-51,10.178,0.092,-69,5.559,1.187,-64,1,8
1.168,0.195,-53,10.178,0.166,-69,5.823,0.957,-64,1,8
1.227,0.163,-53,10.334,0.216,-69,5.676,1.052,-65,1,8
0.9,0.298,-47,10.256,0.163,-69,5.764,1.048,-64,1,8
1.285,0.174,-53,10.217,0.093,-69,5.735,1.006,-64,1,8
1.148,0.151,-53,10.139,0.143,-68,5.764,1.03,-63,1,8
1.344,1.883,-53,10.1,0.097,-70,5.823,0.962,-64,1,8
1.266,1.585,-51,10.022,0.158,-69,5.764,1.009,-64,1,8
1.227,0.086,-53,10.178,0.247,-70,5.706,1.037,-63,1,8
1.188,0.121,-53,9.983,0.13,-70,5.647,1.101,-64,1,8
1.373,0.081,-53,9.944,0.244,-70,5.647,1.137,-63,1,8
1.168,0.246,-53,9.983,0.25,-70,5.647,1.047,-63,1,8
1.285,0.146,-52,10.139,0.258,-69,5.618,1.101,-63,1,8
1.344,0.116,-52,10.129,0.149,-68,5.676,1.059,-63,1,8
1.08,0.37,-52,10.256,0.109,-69,5.676,1.092,-63,1,8
1.197,0.152,-52,10.061,0.176,-69,5.647,1.051,-64,1,8
1.227,0.163,-53,10.061,0.158,-68,5.647,1.071,-63,1,8
1.197,0.208,-53,10.1,0.175,-69,5.647,1.108,-63,1,8
1.256,0.126,-52,10.1,0.218,-69,5.735,0.99,-63,1,8
1.168,0.195,-52,10.217,0.133,-69,5.676,1.079,-63,1,8
1.139,0.336,-52,10.139,0.125,-70,5.735,0.973,-63,1,8
1.197,0.279,-52,10.139,0.152,-69,5.764,1.046,-63,1,8
1.109,0.241,-53,10.256,0.147,-69,5.588,1.116,-63,1,8
1.305,0.146,-53,10.256,0.061,-69,5.764,1.055,-64,1,8
1.285,0.171,-53,10.178,0.128,-69,5.676,1.079,-63,1,8
1.139,0.238,-53,10.1,0.107,-69,5.676,1.092,-63,1,8
1.227,0.116,-53,10.1,0.153,-69,5.735,1.021,-63,1,8
1.109,0.242,-53,10.178,0.115,-70,5.764,1.015,-63,1,8
1.168,0.279,-52,10.178,0.11,-69,5.618,1.061,-63,1,8
1.168,0.261,-53,10.022,0.285,-70,5.705,1.079,-63,1,8
1.256,0.151,-53,10.139,0.209,-70,5.706,1.055,-63,1,8
1.285,0.17,-53,10.1,0.224,-69,5.735,1.029,-63,1,8
1.227,0.232,-53,9.983,0.286,-70,5.647,1.122,-64,1,8
1.168,0.263,-53,10.1,0.184,-70,5.706,1.097,-64,1,8
1.197,0.325,-52,10.139,0.108,-70,5.559,1.132,-64,1,8
1.08,0.296,-52,10.217,0.107,-70,5.735,1.024,-64,1,8
1.227,0.056,-52,10.061,0.208,-70,5.735,1.042,-64,1,8
1.305,0.145,-52,10.178,0.139,-70,5.823,0.997,-63,1,8
1.109,0.468,-47,10.061,0.143,-70,5.676,1.052,-64,1,8
1.285,0.195,-53,10.061,0.227,-70,5.793,0.978,-63,1,8
1.227,0.139,-52,10.178,0.109,-70,5.852,0.963,-63,1,8
1.168,0.229,-53,10.1,0.207,-69,5.735,1.061,-63,1,8
1.227,0.162,-52,10.1,0.164,-70,5.588,1.093,-63,1,8
1.256,0.214,-53,10.061,0.144,-70,5.676,1.05,-64,1,8
1.256,0.182,-52,10.178,0.151,-69,5.617,1.118,-64,1,8
1.305,0.065,-52,10.256,0.133,-69,5.706,1.09,-64,1,8
1.168,0.175,-53,10.139,0.139,-70,5.706,1.041,-64,1,8
1.285,0.083,-52,10.139,0.147,-69,5.647,1.011,-64,1,8
1.695,1.658,-48,10.217,0.14,-70,5.588,1.155,-63,1,8
1.305,0.09,-52,10.1,0.126,-70,5.735,1.042,-64,1,8
1.227,0.229,-52,10.1,0.188,-70,5.735,1.042,-63,1,8
1.227,0.123,-52,10.061,0.199,-70,5.706,1.055,-64,1,8
1.285,0.085,-52,10.061,0.154,-70,5.706,1.021,-64,1,8
1.227,0.226,-52,10.217,0.24,-70,5.706,1.066,-64,1,8
1.139,0.292,-52,10.256,0.11,-69,5.618,1.063,-64,1,8
1.314,0.197,-52,10.256,0.192,-69,5.588,1.097,-64,1,8
1.344,0.135,-53,10.061,0.177,-69,5.705,1.023,-64,1,8
1.197,0.233,-52,10.178,0.192,-69,5.793,1.019,-63,1,8
1.149,0.264,-52,10.217,0.158,-69,5.764,1.015,-63,1,8
1.051,0.272,-52,10.1,0.111,-69,5.706,1.098,-63,1,8
1.227,0.123,-52,9.983,0.17,-70,5.618,1.126,-64,1,8
1.227,0.151,-52,10.022,0.175,-70,5.676,1.052,-63,1,8
1.344,0.103,-52,10.1,0.131,-70,5.764,1.015,-63,1,8
1.227,0.139,-53,10.061,0.15,-70,5.676,1.042,-63,1,8
1.285,0.132,-52,10.061,0.141,-70,5.735,1.007,-63,1,8
1.285,0.083,-52,10.022,0.167,-70,5.735,1.009,-64,1,8
1.051,0.299,-52,10.139,0.177,-70,5.559,1.09,-64,1,8
1.314,0.181,-52,10.022,0.18,-70,5.676,1.034,-63,1,8
1.139,0.276,-52,10.1,0.126,-69,5.647,1.123,-63,1,8
1.227,0.273,-52,10.061,0.139,-70,5.706,1.094,-64,1,8
1.266,0.123,-52,10.139,0.127,-70,5.706,1.055,-64,1,8
1.256,0.146,-52,9.983,0.119,-69,5.676,1.073,-64,1,8
1.109,0.303,-52,10.178,0.124,-70,5.676,1.113,-63,1,8
1.266,0.116,-52,10.256,0.139,-70,5.735,1.061,-64,1,8
1.305,0.104,-52,10.1,0.133,-69,5.676,1.036,-64,1,8
1.168,0.266,-47,10.178,0.158,-70,5.706,1.059,-64,1,8
1.256,0.185,-52,10.217,0.107,-70,5.618,1.102,-64,1,8
1.227,0.202,-53,10.022,0.139,-70,5.647,1.085,-64,1,8
1.227,0.15,-52,9.983,0.138,-69,5.706,1.041,-64,1,8
1.197,0.164,-53,9.983,0.153,-69,5.647,1.087,-64,1,8
1.149,0.137,-53,10.061,0.195,-70,5.647,1.065,-64,1,8
1.373,0.162,-53,9.983,0.135,-70,5.647,1.088,-64,1,8
1.031,0.192,-53,10.1,0.137,-69,5.647,1.045,-64,1,8
1.256,0.159,-53,10.1,0.099,-70,5.706,1.036,-64,1,8
1.285,0.141,-53,9.944,0.19,-69,5.793,1.021,-64,1,8
1.256,0.146,-53,10.022,0.14,-69,5.735,1.063,-63,1,8
1.305,0.083,-53,10.217,0.092,-70,5.735,1.022,-64,1,8
1.109,0.175,-53,9.983,0.165,-69,5.735,0.994,-63,1,8
1.109,0.205,-53,10.061,0.121,-70,5.618,1.1,-64,1,8
1.227,0.164,-53,9.983,0.186,-70,5.735,1.108,-64,1,8
1.188,1.516,-52,9.944,0.158,-70,5.735,1.042,-64,1,8
1.227,0.123,-53,9.983,0.171,-70,5.647,1.085,-63,1,8
1.305,0.098,-53,10.022,0.088,-69,5.676,1.092,-64,1,8
1.197,0.164,-53,9.944,0.149,-69,5.676,1.059,-63,1,8
1.148,0.138,-53,10.139,0.115,-70,5.647,1.07,-64,1,8
1.266,0.186,-53,9.905,0.165,-69,5.735,1.044,-64,1,8
1.109,0.149,-53,10.061,0.133,-69,5.559,1.071,-64,1,8
1.148,0.175,-53,10.1,0.111,-69,5.618,1.107,-64,1,8
1.285,0.146,-53,9.983,0.18,-69,5.647,1.033,-63,1,8
1.168,0.175,-52,10.061,0.198,-69,5.559,1.113,-64,1,8
1.148,0.138,-53,10.139,0.131,-69,5.647,1.105,-64,1,8
1.149,0.146,-53,10.178,0.145,-70,5.618,1.107,-64,1,8
1.227,0.152,-53,10.1,0.156,-70,5.647,1.105,-64,1,8
1.188,0.116,-53,10.159,0.12,-70,5.618,1.122,-64,1,8
1.197,0.178,-53,10.022,0.149,-69,5.588,1.113,-64,1,8
1.256,0.192,-53,10.1,0.189,-69,5.676,1.071,-64,1,8
1.344,0.126,-53,10.295,0.117,-69,5.647,1.083,-64,1,8
1.188,0.106,-53,10.217,0.133,-69,5.588,1.116,-64,1,8
1.109,0.216,-53,10.139,0.14,-69,5.618,1.086,-64,1,8
1.266,0.104,-53,10.061,0.216,-69,5.676,1.057,-64,1,8
1.227,0.225,-52,10.1,0.229,-69,5.647,1.069,-64,1,8
1.139,0.229,-53,10.178,0.124,-69,5.588,1.106,-63,1,8
1.227,0.086,-53,10.178,0.127,-69,5.618,1.107,-64,1,8
1.148,0.138,-53,10.139,0.155,-69,5.53,1.181,-64,1,8
1.168,0.246,-53,10.1,0.186,-69,5.764,0.992,-64,1,8
1.188,0.106,-53,10.178,0.109,-69,5.559,1.151,-64,1,8
1.227,0.195,-53,10.178,0.11,-69,5.617,1.066,-64,1,8
1.227,0.205,-52,10.061,0.128,-69,5.676,1.032,-64,1,8
1.256,0.139,-53,10.178,0.097,-69,5.735,0.99,-64,1,8
1.139,0.186,-53,10.1,0.139,-69,5.647,1.055,-64,1,8
1.227,0.217,-53,10.1,0.178,-69,5.676,1.072,-63,1,8
1.285,0.15,-53,10.061,0.141,-69,5.705,1.042,-64,1,8
1.256,0.152,-53,10.1,0.115,-69,5.676,1.052,-63,1,8
1.188,0.159,-53,10.217,0.111,-69,5.588,1.104,-64,1,8
1.109,0.206,-53,10.139,0.17,-69,5.647,1.087,-63,1,8
1.188,0.105,-53,10.1,0.178,-69,5.706,1.001,-64,1,8
1.197,0.176,-53,10.022,0.123,-69,5.647,1.031,-64,1,8
1.461,1.656,-51,10.139,0.081,-69,5.647,1.083,-64,1,8
1.344,0.076,-53,10.1,0.131,-70,5.618,1.14,-64,1,8
1.344,0.126,-53,10.178,0.129,-69,5.793,0.998,-64,1,8
1.168,0.138,-53,10.178,0.121,-69,5.764,1.051,-64,1,8
1.285,0.132,-53,10.022,0.124,-69,5.764,1.025,-63,1,8
1.031,0.181,-53,10.217,0.09,-69,5.618,1.12,-63,1,8
1.07,0.154,-53,10.1,0.124,-69,5.559,1.131,-64,1,8
1.188,0.138,-53,10.139,0.081,-69,5.706,1.075,-64,1,8
1.227,0.146,-53,10.022,0.137,-69,5.676,1.074,-64,1,8
1.168,0.164,-53,10.061,0.142,-69,5.53,1.125,-64,1,8
1.109,0.171,-53,10.139,0.187,-69,5.618,1.102,-64,1,8
1.148,0.138,-53,9.983,0.13,-69,5.647,1.069,-63,1,8
1.188,0.146,-53,10.178,0.109,-69,5.676,1.053,-64,1,8
1.031,0.188,-53,10.1,0.166,-69,5.588,1.14,-63,1,8
1.188,0.159,-53,10.1,0.181,-69,5.676,1.074,-63,1,8
1.168,0.186,-53,9.944,0.12,-69,5.705,1.059,-64,1,8
1.285,0.154,-53,10.217,0.107,-69,5.618,1.126,-64,1,8
1.227,0.146,-53,10.139,0.094,-69,5.735,1.061,-64,1,8
1.197,0.138,-53,10.178,0.129,-69,5.706,1.081,-64,1,8
1.227,1.556,-52,10.178,0.11,-69,5.647,1.07,-63,1,8
1.305,0.121,-53,10.178,0.111,-69,5.764,0.976,-64,1,8
1.197,0.163,-53,10.295,0.107,-69,5.559,1.073,-64,1,8
1.031,0.22,-53,10.139,0.106,-69,5.647,1.104,-64,1,8
1.256,0.136,-53,10.139,0.193,-69,5.588,1.081,-64,1,8
1.266,0.121,-52,10.178,0.09,-69,5.559,1.131,-64,1,8
1.305,0.107,-53,10.178,0.142,-69,5.647,1.099,-64,1,8
1.07,0.206,-53,10.217,0.115,-69,5.647,1.073,-64,1,8
1.031,0.192,-53,10.139,0.117,-69,5.735,1.046,-63,1,8
1.148,0.163,-53,10.1,0.111,-69,5.735,1.044,-64,1,8
1.07,0.206,-54,10.1,0.142,-70,5.706,1.037,-64,1,8
1.07,1.978,-49,10.139,0.09,-69,5.618,1.099,-64,1,8
1.227,0.085,-53,10.022,0.181,-69,5.618,1.127,-63,1,8
1.031,0.272,-53,10.178,0.19,-68,5.706,1.061,-64,1,8
1.07,1.246,-48,10.1,0.154,-69,5.676,1.052,-64,1,8
1.305,0.116,-53,10.022,0.241,-70,5.588,1.118,-64,1,8
1.07,0.216,-53,10.1,0.141,-69,5.735,1.005,-64,1,8
1.314,0.097,-53,10.178,0.171,-70,5.676,1.015,-64,1,8
0.953,0.283,-54,10.139,0.216,-70,5.676,1.072,-64,1,8
1.021,0.238,-53,10.1,0.215,-69,5.618,1.1,-64,1,8
1.07,0.185,-53,10.1,0.13,-69,5.618,1.081,-64,1,8
1.07,0.205,-53,10.139,0.192,-69,5.764,1.033,-64,1,8
1.031,0.223,-53,10.217,0.115,-69,5.647,1.047,-64,1,8
1.266,0.12,-53,10.1,0.197,-69,5.647,1.07,-64,1,8
0.953,0.299,-54,10.1,0.125,-70,5.676,1.057,-64,1,8
1.07,0.15,-48,10.022,0.102,-69,5.764,1.048,-64,1,8
1.305,0.117,-53,10.1,0.173,-69,5.647,1.11,-63,1,8
1.031,0.211,-53,10.061,0.135,-69,5.647,1.031,-63,1,8
1.227,0.138,-53,9.983,0.119,-69,5.676,1.052,-63,1,8
1.109,0.206,-54,10.071,0.118,-69,5.647,1.037,-64,1,8
1.188,1.401,-48,10.1,0.158,-69,5.706,1.001,-64,1,8
0.953,0.276,-53,10.1,0.117,-69,5.823,0.999,-64,1,8
1.266,0.083,-54,9.983,0.189,-69,5.676,1.093,-64,1,8
1.285,0.058,-53,10.217,0.124,-69,5.676,1.05,-64,1,8
0.953,0.271,-54,10.139,0.219,-69,5.764,1.015,-64,1,8
1.149,0.152,-48,9.983,0.187,-69,5.706,1.022,-64,1,8
1.227,0.106,-53,10.1,0.165,-69,5.764,1.011,-63,1,8
1.148,0.15,-53,10.022,0.171,-69,5.618,1.068,-63,1,8
0.953,1.723,-51,10.159,0.188,-69,5.735,1.061,-64,1,8
0.992,0.229,-53,10.178,0.139,-68,5.706,1.041,-64,1,8
1.305,0.075,-53,10.139,0.217,-69,5.647,1.103,-64,1,8
1.109,0.211,-53,10.452,0,-69,5.676,1.013,-64,1,8
0.914,0.296,-54,10.178,0.199,-69,5.588,1.134,-63,1,8
1.168,0.138,-53,10.217,0.201,-69,5.676,1.09,-64,1,8
1.256,0.116,-54,10.1,0.151,-69,5.588,1.151,-63,1,8
1.188,0.138,-53,10.139,0.12,-69,5.559,1.149,-64,1,8
1.07,0.182,-53,10.1,0.122,-69,5.706,1.084,-63,1,8
1.256,0.149,-53,10.178,0.212,-68,5.705,1.042,-64,1,8
1.266,0.136,-54,10.217,0.117,-68,5.676,1.054,-64,1,8
1.149,0.126,-53,10.022,0.226,-69,5.764,1.03,-63,1,8
1.344,1.518,-51,10.217,0.124,-69,5.706,1.021,-64,1,8
1.149,0.178,-52,10.1,0.212,-70,5.705,1.099,-64,1,8
1.188,0.138,-53,10.139,0.206,-70,5.676,1.052,-64,1,8
1.031,0.188,-53,10.022,0.34,-69,5.706,1.037,-63,1,8
1.197,0.138,-52,10.1,0.117,-69,5.618,1.1,-64,1,8
1.344,0.053,-53,10.178,0.202,-68,5.617,1.104,-64,1,8
1.227,0.15,-53,10.022,0.208,-69,5.618,1.119,-64,1,8
1.109,0.163,-54,10.178,0.123,-69,5.5,1.179,-64,1,8
1.07,0.206,-53,10.1,0.087,-68,5.676,1.092,-63,1,8
1.07,0.186,-53,10.1,0.151,-68,5.793,1.037,-64,1,8
1.199,0.16,-52,9.983,0.169,-68,5.764,1.027,-64,1,8
1.266,0.083,-54,10.139,0.088,-68,5.793,1.017,-64,1,8
1.031,0.233,-53,10.1,0.192,-69,5.706,1.075,-63,1,8
0.992,0.264,-53,10.217,0.113,-68,5.647,1.087,-64,1,8
0.992,0.238,-53,10.139,0.12,-69,5.647,1.068,-63,1,8
1.148,0.174,-53,10.061,0.137,-69,5.705,1.079,-64,1,8
1.031,0.193,-54,10.139,0.081,-68,5.588,1.099,-64,1,8
1.305,0.088,-53,10.129,0.142,-68,5.647,1.063,-64,1,8
0.953,0.278,-53,10.1,0.148,-68,5.706,1.055,-64,1,8
