AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
5.768,0.693,-56,6.555,0.28,-59,7.014,1.301,-72,4,4,7,9,7,0,0,9
5.885,1.122,-56,4.866,0.851,-58,6.233,0.086,-67,4,4,7,9,7,0,0,9
5.064,1.254,-57,4.514,1.1,-59,5.92,0.174,-66,4,4,7,9,7,0,0,9
4.713,0.602,-59,4.788,1,-55,6.233,2.534,-68,4,4,7,9,7,0,0,9
5.094,0.68,-61,5.139,0.724,-60,10.95,0.211,-73,4,4,7,9,7,0,0,9
2.803,3.4,-54,5.842,0.41,-67,6.262,0.878,-70,4,4,7,9,7,0,0,9
5.152,0.727,-58,4.944,0.68,-61,8.772,0.994,-74,4,4,7,9,7,0,0,9
4.753,1.008,-60,4.983,0.613,-58,6.907,2.432,-72,4,4,7,9,7,0,0,9
4.577,1.105,-56,4.67,1.082,-60,6.965,0.29,-69,4,4,7,9,7,0,0,9
5.006,0.763,-59,4.827,0.955,-60,6.467,0.252,-66,4,4,7,9,7,0,0,9
5.094,0.776,-58,5.1,0.858,-59,7.229,0.071,-70,4,4,7,9,7,0,0,9
4.947,0.889,-59,5.139,0.823,-59,6.204,2.511,-69,4,4,7,9,7,0,0,9
4.898,0.858,-58,4.827,1.017,-60,6.643,2.178,-69,4,4,7,9,7,0,0,9
4.918,0.805,-58,4.866,0.96,-60,6.555,1.989,-67,4,4,7,9,7,0,0,9
5.094,0.747,-60,4.866,0.997,-60,6.526,2.215,-69,4,4,7,9,7,0,0,9
4.859,0.945,-58,4.788,0.956,-60,6.79,1.91,-74,4,4,7,9,7,0,0,9
5.094,0.785,-57,4.866,0.964,-60,6.672,2.066,-69,4,4,7,9,7,0,0,9
4.977,0.814,-58,4.788,0.981,-60,6.321,2.067,-68,4,4,7,9,7,0,0,9
5.211,0.526,-58,4.827,0.96,-60,6.204,2.104,-70,4,4,7,9,7,0,0,9
5.24,0.627,-59,4.905,0.951,-60,6.321,2.229,-71,4,4,7,9,7,0,0,9
5.152,0.708,-58,4.983,0.913,-60,6.496,2.023,-69,4,4,7,9,7,0,0,9
5.182,0.673,-58,4.983,0.883,-60,6.409,2.003,-71,4,4,7,9,7,0,0,9
5.211,0.654,-58,4.944,0.891,-60,6.555,1.967,-68,4,4,7,9,7,0,0,9
5.094,0.833,-57,4.944,0.874,-60,6.672,2.064,-69,4,4,7,9,7,0,0,9
5.123,0.682,-58,4.905,0.907,-60,6.789,2.26,-69,4,4,7,9,7,0,0,9
5.182,0.657,-58,4.866,0.984,-60,6.702,2.112,-69,4,4,7,9,7,0,0,9
5.182,0.63,-56,4.827,1.005,-60,6.672,2.143,-68,4,4,7,9,7,0,0,9
5.152,0.716,-58,5.022,0.907,-60,6.672,2.182,-68,4,4,7,9,7,0,0,9
5.24,0.645,-59,4.866,0.954,-60,6.467,2.339,-68,4,4,7,9,7,0,0,9
5.299,0.695,-58,4.944,0.959,-60,6.438,2.145,-68,4,4,7,9,7,0,0,9
5.307,0.68,-58,4.827,1.003,-60,6.291,2.157,-70,4,4,7,9,7,0,0,9
5.123,0.682,-59,4.866,0.939,-60,6.379,2.095,-70,4,4,7,9,7,0,0,9
5.152,0.735,-59,4.905,0.958,-60,6.35,2.091,-70,4,4,7,9,7,0,0,9
5.123,0.785,-58,4.866,0.999,-60,6.467,2.05,-69,4,4,7,9,7,0,0,9
5.035,0.732,-59,4.827,1.005,-60,6.643,2.084,-68,4,4,7,9,7,0,0,9
5.035,0.886,-58,4.944,0.916,-60,6.497,2.094,-69,4,4,7,9,7,0,0,9
4.889,0.974,-59,4.944,0.939,-60,6.496,2.231,-69,4,4,7,9,7,0,0,9
4.977,0.835,-59,4.983,0.911,-60,6.614,2.076,-69,4,4,7,9,7,0,0,9
4.958,0.816,-54,4.983,0.948,-60,6.555,2.124,-69,4,4,7,9,7,0,0,9
5.006,0.763,-58,4.944,0.932,-60,6.496,2.249,-70,4,4,7,9,7,0,0,9
5.211,0.641,-58,4.905,0.951,-60,6.555,2.22,-69,4,4,7,9,7,0,0,9
4.859,0.911,-59,4.866,0.954,-60,6.643,2.119,-69,4,4,7,9,7,0,0,9
4.889,0.86,-59,4.866,1.044,-60,6.526,2.234,-69,4,4,7,9,7,0,0,9
5.016,0.739,-59,4.827,1.079,-60,6.584,2.149,-69,4,4,7,9,7,0,0,9
4.977,0.817,-59,4.944,0.98,-60,6.614,2.132,-69,4,4,7,9,7,0,0,9
5.064,0.725,-56,4.905,1.041,-60,6.585,2.208,-68,4,4,7,9,7,0,0,9
4.87,0.858,-59,4.905,1.036,-60,6.614,2.152,-68,4,4,7,9,7,0,0,9
5.182,0.636,-59,4.866,1.03,-60,6.526,2.177,-69,4,4,7,9,7,0,0,9
4.859,0.89,-59,4.866,1.027,-60,6.526,2.099,-70,4,4,7,9,7,0,0,9
5.035,0.809,-59,4.983,0.939,-59,6.526,2.139,-71,4,4,7,9,7,0,0,9
5.219,0.731,-57,4.905,0.965,-60,6.496,2.134,-69,4,4,7,9,7,0,0,9
5.006,0.706,-59,4.905,1.012,-59,6.584,2.264,-68,4,4,7,9,7,0,0,9
5.006,0.821,-59,4.866,1.001,-60,6.584,2.267,-67,4,4,7,9,7,0,0,9
4.977,0.836,-59,4.905,0.945,-60,6.672,2.238,-67,4,4,7,9,7,0,0,9
5.006,0.714,-59,4.866,0.945,-60,8.928,1.839,-67,4,4,7,9,7,0,0,9
5.006,0.821,-59,4.944,0.924,-60,6.731,2.229,-67,4,4,7,9,7,0,0,9
4.977,0.886,-59,5.139,0.821,-60,6.819,2.092,-67,4,4,7,9,7,0,0,9
4.859,0.99,-55,4.983,0.948,-60,6.789,2.105,-67,4,4,7,9,7,0,0,9
5.016,0.775,-59,4.827,1.017,-63,6.789,2.065,-67,4,4,7,9,7,0,0,9
4.977,0.805,-54,4.788,1.022,-63,6.76,2.083,-67,4,4,7,9,7,0,0,9
4.918,0.888,-59,4.944,1.024,-60,6.76,2.197,-67,4,4,7,9,7,0,0,9
4.977,0.798,-58,4.944,0.993,-60,6.731,2.074,-67,4,4,7,9,7,0,0,9
5.094,0.719,-54,4.905,1.036,-60,6.731,2.172,-67,4,4,7,9,7,0,0,9
4.899,0.871,-54,4.983,0.959,-60,6.702,2.224,-67,4,4,7,9,7,0,0,9
5.006,0.754,-58,4.866,1.013,-60,6.819,2.091,-67,4,4,7,9,7,0,0,9
4.947,0.792,-58,4.944,0.967,-59,6.819,2.149,-67,4,4,7,9,7,0,0,9
5.123,0.646,-59,4.944,0.995,-60,6.789,2.068,-67,4,4,7,9,7,0,0,9
5.016,0.811,-59,5.139,0.847,-60,6.789,2.2,-67,4,4,7,9,7,0,0,9
4.889,0.803,-59,4.866,0.997,-60,6.819,2.148,-67,4,4,7,9,7,0,0,9
4.977,0.761,-59,4.983,0.902,-60,6.76,2.175,-67,4,4,7,9,7,0,0,9
4.889,0.86,-59,4.944,0.918,-60,6.672,2.104,-67,4,4,7,9,7,0,0,9
4.977,0.721,-59,4.983,0.911,-60,6.526,2.274,-68,4,4,7,9,7,0,0,9
5.182,0.599,-59,4.866,0.999,-60,6.526,2.079,-68,4,4,7,9,7,0,0,9
4.918,0.867,-59,4.944,0.894,-61,6.555,2.143,-68,4,4,7,9,7,0,0,9
5.035,0.828,-59,4.905,0.924,-60,6.614,2.19,-67,4,4,7,9,7,0,0,9
5.035,0.771,-59,4.827,0.987,-61,6.526,2.275,-67,4,4,7,9,7,0,0,9
4.522,2.055,-55,4.905,0.94,-61,6.467,2.262,-67,4,4,7,9,7,0,0,9
5.035,0.846,-59,4.983,0.955,-60,6.555,2.222,-67,4,4,7,9,7,0,0,9
5.006,0.749,-59,4.905,0.969,-60,6.438,2.24,-67,4,4,7,9,7,0,0,9
4.947,0.828,-55,4.905,0.984,-60,6.555,2.2,-68,4,4,7,9,7,0,0,9
5.123,0.651,-59,4.983,0.911,-60,6.584,2.266,-67,4,4,7,9,7,0,0,9
5.006,2.621,-54,4.944,0.947,-60,6.614,2.152,-67,4,4,7,9,7,0,0,9
