predicted_x,predicted_y,x,y
0.9379324,0.7785374,1,1
0.934133,0.7739283,1,1
0.97997415,0.7672601,1,1
0.9513144,0.7660522,1,1
0.9152721,0.7789255,1,1
0.9590646,0.7613562,1,1
0.93653077,0.78257614,1,1
0.93611693,0.7804426,1,1
0.9743868,0.7787198,1,1
0.859949,0.8155775,1,1
0.96704245,0.7783798,1,1
0.87266695,0.827813,1,1
0.9328196,0.77616984,1,1
0.9207327,0.7865926,1,1
0.9470985,0.7778377,1,1
0.91669476,0.7927543,1,1
0.94925284,0.77779895,1,1
1.035218,0.8073454,1,1
0.84123766,0.8320983,1,1
0.87661386,0.8128642,1,1
0.8117113,0.82808757,1,1
0.9081738,0.81480634,1,1
0.9555803,0.77318895,1,1
0.89300567,0.8102058,1,1
0.86500555,0.8100753,1,1
0.9297229,0.79464316,1,1
0.90911806,0.79483414,1,1
0.9304916,0.78547686,1,1
0.922842,0.7804097,1,1
0.9794822,0.7636525,1,1
0.93568945,0.77971554,1,1
0.8870869,0.7890544,1,1
0.8112851,0.8079561,1,1
0.94564545,0.7731867,1,1
0.9532098,0.7762923,1,1
0.95437014,0.76527125,1,1
0.8370267,0.80310035,1,1
0.93432903,0.7760223,1,1
0.9702514,0.7722219,1,1
0.9652206,0.7778143,1,1
0.8802204,0.82599664,1,1
0.9413488,0.7745171,1,1
0.9189679,0.7794417,1,1
0.83077383,0.83248234,1,1
0.91594064,0.79011303,1,1
0.82341766,0.82637835,1,1
0.7648294,0.85520697,1,1
0.9580096,0.78040576,1,1
0.8642894,0.81374705,1,1
0.890252,0.8017061,1,1
0.8589909,0.79741657,1,1
0.8452138,0.8026513,1,1
0.8644911,0.7929113,1,1
0.90206206,0.8106543,1,1
0.90290797,0.78488,1,1
0.76179063,0.89475816,1,1
0.91312623,0.80955184,1,1
0.977782,0.8004804,1,1
0.90190434,0.77819586,1,1
0.93851733,0.79248184,1,1
0.8333061,0.7882708,1,1
0.9082195,0.78826785,1,1
0.94729894,0.7612332,1,1
0.8631692,0.8326498,1,1
0.75909233,0.9430311,1,1
0.90068585,0.79419065,1,1
0.90098906,0.80246866,1,1
0.89204615,0.78146863,1,1
1.0256535,0.7666168,1,1
0.8675899,0.77463204,1,1
0.89031816,0.7963332,1,1
0.91839325,0.77736795,1,1
0.9112257,0.8048853,1,1
0.7592323,0.9184296,1,1
0.96936995,0.73874223,1,1
0.88842046,0.81424195,1,1
0.91393006,0.7755312,1,1
0.93116164,0.77466726,1,1
0.88588464,0.80752033,1,1
0.93760127,0.7867646,1,1
0.89841115,0.810725,1,1
0.9772708,0.7819484,1,1
0.90342176,0.7916486,1,1
0.9882678,0.7717743,1,1
0.90631396,0.7992426,1,1
0.95773774,0.7846641,1,1
0.93378305,0.7876988,1,1
0.77666783,0.84680843,1,1
0.9720094,0.7697605,1,1
1.0163082,0.7780662,1,1
0.94362456,0.76716536,1,1
0.91222215,0.7894952,1,1
0.92256993,0.7662151,1,1
0.973037,0.76674795,1,1
0.94915026,0.7815883,1,1
0.992743,0.7691275,1,1
0.78808224,0.8729419,1,1
0.8975526,0.8070748,1,1
0.9726937,0.78183043,1,1
0.91933095,0.7870116,1,1
0.90695155,0.7864897,1,1
0.87773776,0.8070701,1,1
0.9136144,0.7824328,1,1
0.891373,0.7885845,1,1
0.90947425,0.79387665,1,1
0.8812571,0.8079866,1,1
0.9369974,0.77900696,1,1
0.92104065,0.7867019,1,1
0.909091,0.78738296,1,1
0.8961122,0.7976028,1,1
0.82907856,0.8199533,1,1
0.90264463,0.7876928,1,1
0.9108518,0.79726803,1,1
0.79210097,0.8295572,1,1
0.82801473,0.80174124,1,1
0.913986,0.79267454,1,1
0.7904544,0.82277006,1,1
0.7742127,0.81997883,1,1
0.8278059,0.807798,1,1
0.7601401,0.84361815,1,1
0.81076276,0.8259381,1,1
0.8508432,0.81338525,1,1
0.902773,0.8037428,1,1
0.8910779,0.80521894,1,1
0.8310921,0.8095327,1,1
0.9342005,0.7844225,1,1
0.8254156,0.8399426,1,1
0.88999826,0.8114195,1,1
0.8800375,0.80797726,1,1
0.85982937,0.8140552,1,1
0.9259616,0.78709584,1,1
0.8260871,0.8196923,1,1
0.86096007,0.79995155,1,1
0.85435885,0.8123045,1,1
0.8794457,0.8007807,1,1
0.8755624,0.80631113,1,1
0.93521214,0.79473156,1,1
0.9504111,0.78407025,1,1
0.9425281,0.7928858,1,1
0.9371834,0.7900914,1,1
0.9300894,0.7965612,1,1
0.92934656,0.7855169,1,1
0.8848617,0.81575245,1,1
0.933684,0.7858086,1,1
0.9686267,0.7758342,1,1
0.93399644,0.7937704,1,1
0.94471824,0.7924508,1,1
0.936082,0.77568203,1,1
0.9361113,0.7814803,1,1
0.96395046,0.7694498,1,1
0.9351695,0.7799465,1,1
0.86494625,0.79609036,1,1
0.9498925,0.75777197,1,1
0.8605342,0.79245085,1,1
0.9044709,0.7967628,1,1
0.91884446,0.7763447,1,1
0.8043815,0.84002614,1,1
0.90929973,0.79299915,1,1
0.968465,0.75922954,1,1
0.9544902,0.769531,1,1
0.87355936,0.77811927,1,1
0.9174087,0.7968841,1,1
0.8496088,0.8097669,1,1
0.9347417,0.78118837,1,1
0.8017237,0.83034647,1,1
0.9247954,0.7885231,1,1
0.911008,0.7918508,1,1
1.3983163,0.8399932,1,1
0.9240272,0.7787718,1,1
1.3861343,0.8383048,1,1
0.89138955,0.79415405,1,1
0.9412292,0.78004134,1,1
0.9663761,0.7712859,1,1
1.0183206,0.7677469,1,1
0.93257135,0.78230584,1,1
0.98574793,0.77049005,1,1
0.8901118,0.8030572,1,1
0.9280969,0.79177046,1,1
0.9420756,0.78342116,1,1
0.77292985,0.82766163,1,1
0.91073084,0.7989402,1,1
0.9316875,0.79718745,1,1
3.2763543,1.7035236,1,1
0.8762394,0.80672985,1,1
0.98781097,0.75260466,1,1
0.95615304,0.77768713,1,1
0.94565415,0.79798484,1,1
0.97075176,0.7822217,1,1
0.9774504,0.7567172,1,1
0.93182015,0.7811794,1,1
0.9766533,0.77347696,1,1
0.8935824,0.79790604,1,1
0.9224669,0.7746663,1,1
0.7808368,0.8798357,1,1
0.7832992,0.85019064,1,1
0.93926346,0.77639055,1,1
0.88479304,0.8233497,1,1
0.85612255,0.8182315,1,1
0.76620746,0.8505374,1,1
0.8766047,0.8076508,1,1
0.8998647,0.8046706,1,1
0.8627881,0.8094627,1,1
0.92560077,0.78350794,1,1
0.8643403,0.78178406,1,1
0.8374912,0.8284048,1,1
0.8546604,0.81590927,1,1
0.7810329,0.8325136,1,1
0.7635219,0.9351676,1,1
0.82862055,0.8178903,1,1
0.8862252,0.79766715,1,1
0.94295,0.78785187,1,1
0.88463163,0.8163558,1,1
0.9133915,0.799562,1,1
0.9167656,0.7830471,1,1
0.9729473,0.779837,1,1
0.9107608,0.7853193,1,1
0.92230034,0.7704802,1,1
0.91639835,0.7868359,1,1
0.90195465,0.8024591,1,1
0.88104963,0.7868995,1,1
0.84707,0.82212305,1,1
0.743699,0.95179117,1,1
0.87613416,0.8200357,1,1
0.8596505,0.80509925,1,1
0.8814837,0.81406224,1,1
0.864382,0.8144096,1,1
0.94067967,0.7727647,1,1
0.8629263,0.8009958,1,1
0.8804341,0.81421566,1,1
0.87755144,0.791883,1,1
0.899856,0.7801488,1,1
0.8674251,0.81191564,1,1
0.8113713,0.8294355,1,1
0.88134754,0.81766844,1,1
1.0898182,0.78156316,1,1
0.81979144,0.8084886,1,1
0.7831261,0.8293717,1,1
0.8596891,0.8062255,1,1
1.2556245,0.8242471,1,1
1.0808604,0.8010684,1,1
0.89331174,0.7858894,1,1
0.91459626,0.82001805,1,1
0.84491074,0.79894245,1,1
0.8803185,0.8106308,1,1
0.8494909,0.83705246,1,1
0.9369056,0.768777,1,1
1.035114,0.82385886,1,1
1.1447394,0.79573214,1,1
0.9029449,0.79926825,1,1
0.89783704,0.77601534,1,1
0.8887292,0.7936759,1,1
1.028737,0.80364764,1,1
0.92954636,0.7940961,1,1
0.9118642,0.7836287,1,1
0.9053958,0.7901613,1,1
0.85178953,0.81319255,1,1
0.9367167,0.7938472,1,1
0.9410376,0.7731099,1,1
0.83693665,0.81320834,1,1
0.8760853,0.78868294,1,1
0.96131206,0.77278364,1,1
0.8385887,0.82130873,1,1
0.95470345,0.78617865,1,1
0.8676151,0.80852413,1,1
0.8908763,0.8056053,1,1
0.9252089,0.79283476,1,1
0.90467274,0.7870017,1,1
0.8336171,0.82552546,1,1
0.9015657,0.78838575,1,1
0.9086368,0.7941546,1,1
0.8869685,0.7899767,1,1
0.8416009,0.811257,1,1
0.90763706,0.7998264,1,1
0.8096452,0.8248508,1,1
0.8892398,0.8142836,1,1
0.84903,0.8012472,1,1
0.9048612,0.7886586,1,1
0.8780681,0.79789126,1,1
1.1302634,0.8389795,1,1
0.8994964,0.81161225,1,1
0.863123,0.8250679,1,1
0.92202365,0.7772405,1,1
0.93989736,0.7882904,1,1
0.8828762,0.8065624,1,1
0.74267405,0.9047518,1,1
0.86915743,0.79445684,1,1
0.7908236,0.8569151,1,1
0.8134905,0.8409841,1,1
0.89574337,0.8131308,1,1
0.7689777,0.933105,1,1
0.8471339,0.81187576,1,1
0.889019,0.8045026,1,1
1.3399055,0.91724294,1,1
0.85961616,0.78526545,1,1
0.7797851,0.9702365,1,1
0.9122204,0.784778,1,1
0.7619655,0.9732528,1,1
0.75133276,0.9115536,1,1
0.74925613,1.0607291,1,1
0.7662433,0.84218913,1,1
0.74590564,0.88056666,1,1
1.1183436,0.8352133,1,1
0.8427701,1.0099224,1,1
1.2065082,0.8517361,1,1
1.7910669,0.9811603,1,1
0.79217947,0.8828317,1,1
1.0007122,0.932822,1,1
0.93992496,0.93841636,1,1
0.5900222,1.3205727,1,2
0.53501225,1.2206886,1,2
0.59701455,1.4032929,1,2
0.60422665,1.3352275,1,2
0.5290508,1.3048649,1,2
0.5695091,1.3327072,1,2
0.5649922,1.2744753,1,2
0.56462914,1.2794147,1,2
0.5480871,1.2545406,1,2
0.5718306,1.2425911,1,2
0.5653167,1.2849989,1,2
0.6432935,1.2756736,1,2
0.5816457,1.2305905,1,2
0.56044173,1.2594332,1,2
0.61841357,1.2655368,1,2
0.64669394,1.2428374,1,2
0.5915427,1.2239311,1,2
0.60741067,1.2101344,1,2
0.59768546,1.3010343,1,2
0.60903776,1.2704475,1,2
0.48648596,1.069772,1,2
0.6190134,1.3448007,1,2
0.58254147,1.2563453,1,2
0.62326205,1.2724224,1,2
0.60036564,0.87744963,1,2
