predicted_x,predicted_y,x,y
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.1111111111111112,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.1111111111111112,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.7777777777777777,1.0,1,1
1.0,1.0,1,1
1.7777777777777777,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
3.4444444444444446,2.7777777777777777,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.1111111111111112,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
