predicted_x,predicted_y,x,y
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.6666666666666667,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.6666666666666667,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.6666666666666667,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.3333333333333333,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.6666666666666667,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.6666666666666667,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.6666666666666667,1,1
1.3333333333333333,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.3333333333333333,1,1
1.0,1.0,1,1
1.0,1.0,1,1
