predicted_x,predicted_y,x,y
0.7323108,0.6962703,1,1
0.7256342,0.6859639,1,1
0.7924578,0.69043547,1,1
0.7292832,0.7078567,1,1
0.7154046,0.6787135,1,1
0.77201355,0.67902255,1,1
0.7385825,0.6902875,1,1
0.73202634,0.6875556,1,1
0.80157554,0.701551,1,1
0.63417554,0.7833775,1,1
0.75211823,0.7139661,1,1
0.6685302,0.793941,1,1
0.73950106,0.66284186,1,1
0.6865736,0.72925025,1,1
0.766697,0.64331424,1,1
0.69115776,0.72582096,1,1
0.77872443,0.6922676,1,1
0.7950121,0.7264925,1,1
0.63559693,0.72296697,1,1
0.6865194,0.73324233,1,1
0.5974871,0.79245925,1,1
0.70402205,0.7775765,1,1
0.75700116,0.6750585,1,1
0.6931539,0.76724595,1,1
0.66964567,0.696572,1,1
0.6879244,0.75167024,1,1
0.71658826,0.6949696,1,1
0.73174465,0.6800843,1,1
0.7187383,0.6946247,1,1
0.7976131,0.6594679,1,1
0.72391784,0.67107266,1,1
0.68764913,0.72505295,1,1
0.650599,0.74057,1,1
0.7875761,0.6642121,1,1
0.7803816,0.6541618,1,1
0.7934259,0.6571013,1,1
0.6409575,0.7250097,1,1
0.77974725,0.678512,1,1
0.7762104,0.7085145,1,1
0.7677864,0.7076558,1,1
0.6967943,0.7584426,1,1
0.7601515,0.66536576,1,1
0.69639826,0.70519763,1,1
0.6475232,0.8601984,1,1
0.6699359,0.74741775,1,1
0.6292907,0.789153,1,1
0.6085228,0.8985056,1,1
0.74353325,0.71112436,1,1
0.66950965,0.7561108,1,1
0.6652963,0.7398418,1,1
0.6509327,0.7318862,1,1
0.6636033,0.6849209,1,1
0.64895314,0.7351918,1,1
0.68263197,0.7978964,1,1
0.66180646,0.7233552,1,1
0.59895897,0.96849877,1,1
0.6803934,0.79065526,1,1
0.74614644,0.6808273,1,1
0.68026686,0.68305284,1,1
0.7447275,0.6965545,1,1
0.64930737,0.723955,1,1
0.6819252,0.7399877,1,1
0.7510462,0.62538433,1,1
0.6354779,0.8802244,1,1
0.6002002,1.0172219,1,1
0.6953702,0.7595244,1,1
0.6914613,0.7425551,1,1
0.65737295,0.7091624,1,1
0.8081584,0.61530894,1,1
0.68108684,0.67803746,1,1
0.6744544,0.7593774,1,1
0.67362416,0.7474108,1,1
0.6861534,0.7539744,1,1
0.6185781,0.9848371,1,1
0.794418,0.59531116,1,1
0.6826771,0.7455422,1,1
0.7174523,0.65103525,1,1
0.750349,0.6610686,1,1
0.6567936,0.7631058,1,1
0.727888,0.6971724,1,1
0.6799627,0.7725418,1,1
0.803759,0.6660169,1,1
0.6913624,0.7071914,1,1
0.8218806,0.7032863,1,1
0.666172,0.77146715,1,1
0.7343856,0.75052553,1,1
0.69573426,0.7468389,1,1
0.5911511,0.9124273,1,1
0.7608225,0.71937925,1,1
0.86020976,0.6924057,1,1
0.7291175,0.6782371,1,1
0.6626433,0.7460477,1,1
0.7818388,0.63692385,1,1
0.79765165,0.64064586,1,1
0.75137043,0.6706377,1,1
0.78476524,0.68485886,1,1
0.65161145,0.92875695,1,1
0.6879822,0.7424661,1,1
0.78190255,0.66035455,1,1
0.7158451,0.6628607,1,1
0.6603637,0.73622054,1,1
0.6563287,0.7615909,1,1
0.72126925,0.66377944,1,1
0.67542917,0.6710753,1,1
0.6723002,0.72674906,1,1
0.65009916,0.7963459,1,1
0.7209716,0.67526233,1,1
0.7337564,0.66610545,1,1
0.72598225,0.68773705,1,1
0.66819555,0.73486584,1,1
0.64009976,0.76898426,1,1
0.6982801,0.68636894,1,1
0.7240933,0.74155825,1,1
0.6131476,0.8092878,1,1
0.68122184,0.75000834,1,1
0.668844,0.74057084,1,1
0.6455932,0.82854795,1,1
0.6153828,0.8078617,1,1
0.6537063,0.69276494,1,1
0.6716144,0.8498841,1,1
0.629339,0.835575,1,1
0.63180864,0.7737851,1,1
0.68149996,0.77042603,1,1
0.703388,0.718486,1,1
0.6295446,0.75792557,1,1
0.76728845,0.67818683,1,1
0.6241511,0.85963565,1,1
0.6584821,0.76649815,1,1
0.67712545,0.7284456,1,1
0.64153004,0.7735464,1,1
0.69869864,0.7237119,1,1
0.621642,0.7681067,1,1
0.6516757,0.71455413,1,1
0.6549828,0.7872058,1,1
0.65370274,0.7462191,1,1
0.6442094,0.7422289,1,1
0.7246602,0.7581375,1,1
