predicted_x,predicted_y,x,y
1.1427567,1.1899372,1,1
1.1356066,1.1877218,1,1
1.1337326,1.1986374,1,1
1.1720569,1.2097174,1,1
1.1120528,1.1737843,1,1
1.1698877,1.2158881,1,1
1.0782188,1.160102,1,1
1.125704,1.1484452,1,1
1.1204201,1.1881986,1,1
0.9984453,1.1315686,1,1
1.0902516,1.1534652,1,1
1.0141548,1.1451348,1,1
1.158056,1.1843505,1,1
1.1035631,1.202513,1,1
1.1488552,1.1554615,1,1
1.085148,1.1725943,1,1
1.1326078,1.1710929,1,1
1.1459898,1.0297453,1,1
0.798963,0.832207,1,1
1.0356219,1.1410826,1,1
1.0031514,1.1273646,1,1
1.0394758,1.1568233,1,1
1.0870684,1.1629206,1,1
1.0321789,1.1366781,1,1
0.9487049,0.9463497,1,1
1.0319422,1.1378479,1,1
1.0831902,1.1529561,1,1
1.089542,1.160961,1,1
1.1401861,1.1952573,1,1
1.1337348,1.1683663,1,1
1.0914394,1.1449472,1,1
1.1022992,1.2030908,1,1
0.9942957,1.0769753,1,1
1.1155674,1.165254,1,1
1.1326445,1.1511197,1,1
1.143958,1.1770595,1,1
1.0541735,1.1506641,1,1
1.0619103,1.1291599,1,1
1.0819777,1.1587448,1,1
1.0599973,1.1407174,1,1
1.0236018,1.1095017,1,1
1.1145464,1.1496695,1,1
1.0481933,1.1382973,1,1
0.9268286,1.0855532,1,1
1.0154724,1.1360469,1,1
0.9552229,1.0948336,1,1
0.89332956,1.0009303,1,1
1.0485502,1.1301715,1,1
1.0952212,1.1892631,1,1
1.0549083,1.1554928,1,1
1.091304,1.1842027,1,1
0.9706321,0.9591326,1,1
1.0869985,1.1798525,1,1
0.98554254,1.1408362,1,1
1.0708953,1.1526604,1,1
1.0103612,1.0375491,1,1
1.0131085,1.1267326,1,1
1.1461705,1.0110766,1,1
1.1580411,1.1834277,1,1
1.0138999,1.0963562,1,1
1.0453608,1.0897942,1,1
1.104907,1.1956719,1,1
1.2067583,1.1817315,1,1
0.9459797,1.135835,1,1
0.98928916,1.0123476,1,1
1.0455374,1.1702656,1,1
1.0197217,1.1219412,1,1
1.062768,1.1278819,1,1
1.1433657,0.9889119,1,1
1.1355957,1.1511885,1,1
1.0674366,1.1888615,1,1
1.125438,1.2240587,1,1
1.0256141,1.1202443,1,1
0.894284,0.90877396,1,1
1.2213902,1.1802685,1,1
0.9943069,1.109757,1,1
1.1320484,1.148884,1,1
1.108596,1.1461688,1,1
1.0079521,1.1160218,1,1
1.1025006,1.1455083,1,1
1.0168669,1.1357832,1,1
1.1485487,1.1589981,1,1
1.1241488,1.1935366,1,1
1.1151788,1.1729769,1,1
1.0662102,1.1825387,1,1
1.0483682,1.1633437,1,1
1.086437,1.1759288,1,1
0.8921972,1.0589017,1,1
1.1547412,1.1939561,1,1
1.1620692,1.1483631,1,1
1.095149,1.1178292,1,1
1.0354488,1.1444465,1,1
1.1079534,1.1108115,1,1
1.1073012,1.132373,1,1
1.193517,1.1963681,1,1
1.1011102,1.1572896,1,1
0.92149186,0.94368094,1,1
1.0457573,1.1418034,1,1
1.1025758,1.1245492,1,1
1.1202548,1.1324726,1,1
1.1269463,1.1777111,1,1
1.030839,1.1489185,1,1
1.1451641,1.157249,1,1
1.0898209,1.1168336,1,1
1.0343125,1.1252414,1,1
1.034844,1.1554362,1,1
1.0957917,1.1315194,1,1
1.0705775,1.0983485,1,1
0.9944686,1.0573509,1,1
1.0787045,1.1575165,1,1
0.9892038,1.0943763,1,1
1.0947828,1.1184545,1,1
1.0445912,1.1114779,1,1
0.9761643,1.1170939,1,1
1.0643452,1.1238968,1,1
1.0077966,1.1011188,1,1
0.9608525,0.98530686,1,1
1.0375394,1.1156733,1,1
1.1012114,1.135588,1,1
0.9745573,0.9381699,1,1
0.9978278,1.1326544,1,1
0.9641955,1.0735191,1,1
1.0239171,1.1176635,1,1
1.0422237,1.1336579,1,1
1.0017463,1.105913,1,1
1.0468196,1.0834491,1,1
0.94242424,1.0937202,1,1
0.9804937,1.0966545,1,1
1.0303627,1.1074127,1,1
0.9954868,1.115316,1,1
1.0447294,1.1071047,1,1
0.98115873,1.098572,1,1
1.0504649,1.128081,1,1
1.0003954,1.1166002,1,1
1.0487127,1.1340452,1,1
1.007358,1.0942147,1,1
1.018211,1.1267354,1,1
1.12901,1.142063,1,1
1.0109218,1.1294895,1,1
1.1009237,1.1931759,1,1
1.0481421,1.1320987,1,1
1.0983363,1.146001,1,1
0.9049937,0.8101952,1,1
1.087906,1.1481786,1,1
1.0934625,1.1831746,1,1
1.0391954,1.1099429,1,1
1.0719525,1.1393733,1,1
1.1248578,1.1797156,1,1
1.0531843,1.1190752,1,1
1.108905,1.1467856,1,1
1.0813192,1.1516926,1,1
1.0611854,1.1496214,1,1
1.2132651,1.2140466,1,1
1.1016219,1.1701202,1,1
1.0538954,1.1785287,1,1
1.1262318,1.1919949,1,1
0.92915416,1.0697926,1,1
1.0843214,1.1453409,1,1
1.105707,1.1283703,1,1
1.1084075,1.1690851,1,1
1.0840472,1.1094036,1,1
1.073675,1.1447465,1,1
0.96559316,1.0540371,1,1
1.0571932,1.1211125,1,1
0.9848127,1.1337703,1,1
1.0231017,1.073325,1,1
1.01929,1.0702192,1,1
1.2167515,0.82901114,1,1
1.1116624,1.1797866,1,1
1.2899128,0.8753688,1,1
0.93872875,1.0442382,1,1
1.1004883,1.1661613,1,1
1.1290784,1.1186546,1,1
1.117434,1.1193734,1,1
1.075188,1.1311541,1,1
1.0792494,1.1086785,1,1
1.0466689,1.1168,1,1
1.0479256,1.1478096,1,1
0.9782418,1.0107772,1,1
0.9565876,0.97672004,1,1
1.0779166,1.1269377,1,1
1.080544,1.1271824,1,1
1.871574,0.9088741,1,1
1.0604929,1.1450378,1,1
1.1367387,1.1344076,1,1
1.0714229,1.1141614,1,1
0.9787715,0.8214619,1,1
1.1555377,1.1632885,1,1
1.1570293,1.1611006,1,1
1.0934927,1.1729807,1,1
1.0812062,1.1456814,1,1
1.0674857,1.1865326,1,1
1.1702691,1.1948122,1,1
0.91899794,0.96856165,1,1
0.90416133,1.0608693,1,1
1.1139851,1.166726,1,1
0.9572428,1.0868272,1,1
1.0480978,1.1556853,1,1
0.8928725,0.97166836,1,1
1.0575308,1.1329452,1,1
1.0102608,1.1365039,1,1
1.0907742,1.1875762,1,1
1.1252053,1.1585431,1,1
1.081222,1.0636374,1,1
0.9179848,1.0786872,1,1
1.0046269,1.0950668,1,1
0.97888446,1.0346128,1,1
0.9087855,0.9657118,1,1
0.97721595,1.0851902,1,1
1.0317677,1.1098614,1,1
1.1163151,1.1443565,1,1
1.0390167,1.1198443,1,1
1.0425252,1.1056806,1,1
1.0567229,1.1555809,1,1
1.0784237,1.126266,1,1
1.1293597,1.1707618,1,1
1.199681,1.2153958,1,1
0.96625704,0.95930815,1,1
1.037324,1.1253477,1,1
1.0592376,1.1380824,1,1
1.0605117,1.1649517,1,1
0.9642137,0.91902333,1,1
1.0210283,1.158387,1,1
1.0426818,1.1752326,1,1
1.0138397,1.1211575,1,1
1.0334862,1.1552869,1,1
1.0554498,1.119321,1,1
1.079192,1.1939383,1,1
0.9661837,1.1085846,1,1
1.0724552,1.1445316,1,1
1.0862367,1.1550909,1,1
1.0131164,1.1327982,1,1
1.0105224,1.1836764,1,1
1.0117003,1.1689783,1,1
1.124631,0.9250362,1,1
1.0525105,1.1208571,1,1
0.88845915,0.9721503,1,1
1.0380276,1.1675601,1,1
1.1889138,0.81226325,1,1
1.1163839,0.9112046,1,1
1.0909041,1.1632951,1,1
1.007393,0.97080857,1,1
1.0420333,1.1419244,1,1
0.9760295,1.0844431,1,1
0.98258823,1.1500312,1,1
1.1456012,1.145312,1,1
1.1214617,0.9640556,1,1
1.1765748,0.91888624,1,1
1.0486766,1.1238563,1,1
1.116614,1.1336107,1,1
1.0383546,1.102382,1,1
1.0835699,0.92293894,1,1
1.0477554,1.1587793,1,1
1.1373876,1.1679105,1,1
1.0907204,1.1903719,1,1
0.96384,1.0279473,1,1
1.1134238,1.1604468,1,1
1.1291083,1.193942,1,1
1.05878,1.1798213,1,1
1.1308018,1.2261132,1,1
1.1546701,1.1598653,1,1
1.020963,1.1751946,1,1
1.0751872,1.158371,1,1
1.0672964,1.2232603,1,1
1.0716664,1.1576158,1,1
1.2038184,1.1832911,1,1
1.1012584,1.1432254,1,1
1.0488722,1.1827917,1,1
1.0721918,1.161341,1,1
1.0725254,1.1785601,1,1
1.1132782,1.194285,1,1
1.0199511,1.1299689,1,1
1.0071504,1.1288788,1,1
1.046109,1.1868808,1,1
1.042698,1.148211,1,1
1.0508081,1.1253334,1,1
1.0906146,1.1354667,1,1
1.0373815,1.1283603,1,1
1.1481959,0.8764896,1,1
0.97943556,1.1031429,1,1
0.98542756,1.1586212,1,1
