predicted_x,predicted_y,x,y
0.64501226,1.6392627,1.0,2.5
2.751406,1.790041,1.5,2.0
2.7552621,7.6225457,1.5,7.5
3.779861,1.9913366,2.0,2.5
3.1028485,0.7914629,2.5,2.5
2.6820552,7.5194035,2.5,7.5
4.0502725,1.0770326,3.0,1.5
3.6303616,5.670656,3.0,5.5
3.6753843,7.651742,3.0,7.5
5.445013,3.6028478,3.5,3.5
5.0569296,3.411958,3.5,4.5
5.408131,2.905037,4.0,3.5
5.5081034,1.7888675,4.5,2.0
5.1881523,7.164653,4.5,8.0
4.8367605,6.676159,5.0,5.5
3.5939662,7.4049835,5.0,7.5
5.196705,1.5095782,5.5,1.5
4.8164573,3.6216686,5.5,3.5
