predicted_x,predicted_y,x,y,errorx,errory,abs_error
1.51,2.34,1.0,2.5,0.51,-0.16000000000000014,0.34999999999999987
2.0,2.2,1.5,2.0,0.5,0.20000000000000018,0.7000000000000002
2.025,7.445,1.5,7.5,0.5249999999999999,-0.054999999999999716,0.4700000000000002
2.36,2.25,2.0,2.5,0.3599999999999999,-0.25,0.10999999999999988
2.405,2.38,2.5,2.5,-0.0950000000000002,-0.1200000000000001,-0.2150000000000003
2.585,7.445,2.5,7.5,0.08499999999999996,-0.054999999999999716,0.03000000000000025
3.0,1.845,3.0,1.5,0.0,0.345,0.345
3.44,5.715,3.0,5.5,0.43999999999999995,0.21499999999999986,0.6549999999999998
2.95,7.365,3.0,7.5,-0.04999999999999982,-0.1349999999999998,-0.1849999999999996
3.835,3.515,3.5,3.5,0.33499999999999996,0.015000000000000124,0.3500000000000001
3.935,4.11,3.5,4.5,0.43500000000000005,-0.3899999999999997,0.04500000000000037
3.88,3.565,4.0,3.5,-0.1200000000000001,0.06499999999999995,-0.05500000000000016
4.56,2.045,4.5,2.0,0.05999999999999961,0.04499999999999993,0.10499999999999954
4.275,7.535,4.5,8.0,-0.22499999999999964,-0.46499999999999986,-0.6899999999999995
4.735,6.42,5.0,5.5,-0.2649999999999997,0.9199999999999999,0.6550000000000002
4.125,7.405,5.0,7.5,-0.875,-0.09499999999999975,-0.9699999999999998
4.82,2.12,5.5,1.5,-0.6799999999999997,0.6200000000000001,-0.05999999999999961
4.965,3.65,5.5,3.5,-0.5350000000000001,0.1499999999999999,-0.38500000000000023
