AP1RTT,AP1STDEV,AP2RTT,AP2STDEV,AP3RTT,AP3STDEV,x,y,predicted_x,predicted_y
9.664,1.209,5.92,0.163,9.368,0.14,1,1,3.0976091428571446,1.2585280000000003
9.723,1.174,5.92,0.162,9.397,0.15,1,1,3.0547771428571435,1.1949817222222217
9.576,1.205,5.92,0.14,9.456,0.125,1,1,3.3368685714285693,1.3525902222222213
9.693,1.191,5.881,0.126,9.319,0.165,1,1,2.9921080000000018,1.20177288888889
9.811,1.128,5.92,0.186,9.426,0.145,1,1,2.9709825000000007,1.0994821666666668
9.664,1.145,5.842,0.162,9.397,0.147,1,1,3.136479500000001,1.2075593333333337
9.742,1.162,5.959,0.166,9.475,0.115,1,1,3.1335043571428547,1.2001731666666653
9.781,1.22,5.881,0.175,9.358,0.13,1,1,2.921728785714287,1.1065666666666665
9.547,1.228,5.92,0.153,9.436,0.099,1,1,3.3494919285714273,1.3833994999999994
10.016,1.073,6.037,0.139,9.397,0.115,1,1,2.641668071428572,0.9513951666666666
9.693,1.236,5.959,0.12,9.426,0.116,1,1,3.1353733571428584,1.2530795555555558
9.752,1.173,6.037,0.176,9.358,0.06,1,1,2.9621899999999997,1.2413258333333321
9.664,1.222,5.92,0.195,9.397,0.154,1,1,3.136479500000002,1.2585280000000003
9.664,1.183,6.037,0.124,9.397,0.15,1,1,3.1364795000000014,1.3362485000000002
9.664,1.264,5.92,0.211,9.436,0.144,1,1,3.1889428571428566,1.2585280000000003
9.693,1.215,6.037,0.139,9.397,0.133,1,1,3.0963828571428587,1.3050622222222226
9.723,1.166,5.803,0.194,9.368,0.097,1,1,3.0159067857142863,1.1187822222222215
9.664,1.531,6.076,0.086,9.358,0.153,1,1,3.0842334285714297,1.3624933333333336
10.689,1.244,6.116,0.165,9.514,0.074,1,1,1.8043910714285707,0.23059638888888875
9.811,1.139,5.998,0.215,9.426,0.085,1,1,2.9709825000000007,1.151126833333334
10.056,1.092,6.076,0.17,9.319,0.128,1,1,2.4800446428571457,0.9330355555555564
9.664,1.222,6.037,0.137,9.368,0.074,1,1,3.097609142857144,1.3362485000000002
