predicted_x,predicted_y,x,y
1.6666666666666667,2.3333333333333335,1.0,2.5
2.0,2.3333333333333335,1.5,2.0
2.3333333333333335,7.5,1.5,7.5
2.0,2.3333333333333335,2.0,2.5
2.0,2.3333333333333335,2.5,2.5
2.3333333333333335,7.5,2.5,7.5
2.3333333333333335,2.0,3.0,1.5
2.8333333333333335,6.833333333333333,3.0,5.5
2.3333333333333335,7.5,3.0,7.5
3.6666666666666665,3.8333333333333335,3.5,3.5
3.6666666666666665,3.8333333333333335,3.5,4.5
4.333333333333333,3.5,4.0,3.5
4.666666666666667,2.3333333333333335,4.5,2.0
4.166666666666667,7.666666666666667,4.5,8.0
4.333333333333333,6.166666666666667,5.0,5.5
4.833333333333333,7.0,5.0,7.5
5.166666666666667,2.3333333333333335,5.5,1.5
4.333333333333333,3.5,5.5,3.5
