predicted_x,predicted_y,x,y
0.8612532,0.74681866,1,1
0.82294095,1.2887727,1,2
0.76175433,2.3018713,1,3
1.8778671,7.206823,1,7
1.555063,7.325096,1,8
1.9635769,0.70594263,2,1
1.5765982,1.0484928,2,2
1.9875504,2.7298954,2,3
1.8502753,7.2290874,2,7
2.3269856,7.4865856,2,8
3.0534012,1.297228,3,1
2.132039,0.77713704,3,2
3.1091084,2.1016738,3,3
4.323632,4.026704,3,4
2.896911,4.9005566,3,5
3.1238084,6.397815,3,6
2.995128,7.332509,3,7
3.2869387,7.460413,3,8
3.9277782,1.1374938,4,1
3.9904852,1.2859795,4,2
4.2179875,2.1631188,4,3
4.2363744,3.5830636,4,4
4.2697954,7.690752,4,8
4.8798933,1.1542947,5,1
5.228369,1.4831405,5,2
4.6006417,2.4473314,5,4
4.767511,5.2423086,5,5
5.681615,6.3446293,5,6
5.631451,7.062731,5,7
5.5650873,7.418262,5,8
5.5118904,1.4000535,6,1
5.7345176,2.3503845,6,2
5.3815928,2.090065,6,3
6.0132203,3.7028043,6,4
6.074361,4.853244,6,5
6.297421,6.108471,6,6
6.0241847,7.12396,6,8
