AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
7.973,2.04,-60,1.047,0.202,-47,10.413,2.05,-70,1,1
7.877,0.784,-61,1.077,0.106,-47,10.334,1.976,-70,1,1
7.789,1.449,-62,1.116,0.151,-47,10.374,1.926,-71,1,1
7.701,1.734,-62,0.999,0.126,-47,10.491,1.856,-70,1,1
7.818,2.059,-62,1.106,0.151,-47,10.53,1.908,-70,1,1
8.327,1.642,-58,1.018,0.154,-47,10.452,1.989,-68,1,1
7.848,0.82,-62,1.077,0.083,-47,10.334,2.37,-72,1,1
7.76,1.932,-62,1.106,0.121,-47,10.647,1.387,-68,1,1
7.76,1.336,-62,1.077,0.159,-46,10.295,1.95,-68,1,1
7.789,0.891,-62,1.077,0.153,-46,10.491,1.886,-68,1,1
7.731,0.81,-63,1.018,0.146,-46,10.413,1.92,-69,1,1
7.672,0.523,-64,1.047,0.126,-47,10.374,1.983,-70,1,1
7.584,0.673,-64,1.018,0.131,-47,10.491,2.027,-71,1,1
7.76,1.745,-62,1.116,0.123,-47,10.491,1.969,-70,1,1
7.525,0.805,-63,1.047,0.126,-47,10.569,1.92,-71,1,1
7.701,1.363,-64,1.077,0.174,-47,10.413,2.035,-71,1,1
7.789,0.764,-64,1.106,0.12,-47,10.334,2.106,-70,1,1
7.613,0.739,-65,1.038,0.162,-47,10.413,1.905,-71,1,1
7.683,0.738,-61,1.038,0.154,-46,10.217,2.264,-71,1,1
7.613,1.51,-65,1.047,0.097,-47,10.373,1.967,-71,1,1
7.555,1.528,-65,1.106,0.162,-47,10.569,1.932,-70,1,1
7.555,1.649,-66,1.047,0.125,-47,10.569,1.802,-69,1,1
8.074,1.442,-65,1.038,0.154,-47,10.803,0.115,-69,1,1
7.584,2.307,-66,1.038,0.116,-47,10.413,1.675,-73,1,1
7.672,2.207,-66,1.018,0.17,-47,10.647,0.277,-68,1,1
7.672,2.071,-60,0.959,0.202,-47,10.647,1.658,-71,1,1
7.701,1.029,-64,1.018,0.185,-47,10.842,1.37,-69,1,1
7.672,2.072,-65,1.038,0.136,-46,10.686,1.744,-68,1,1
7.584,2.193,-64,1.135,0.121,-47,10.745,0.097,-68,1,1
7.643,2.065,-64,1.038,0.145,-46,10.647,0.239,-70,1,1
7.672,2.054,-64,1.047,0.089,-47,10.881,1.746,-69,1,1
7.643,2.084,-64,1.106,0.104,-47,10.725,1.678,-70,1,1
7.672,2.109,-64,1.077,0.12,-47,10.725,0.192,-70,1,1
7.701,2.095,-64,1.018,0.146,-47,10.764,1.924,-70,1,1
7.613,2.06,-64,0.959,0.123,-47,10.842,1.852,-70,1,1
7.613,2.1,-64,1.106,0.123,-46,10.608,2.055,-70,1,1
7.613,2.118,-65,1.077,0.083,-46,10.803,1.988,-69,1,1
7.643,2.109,-64,1.116,0.085,-47,10.686,2.148,-71,1,1
7.584,2.057,-64,1.077,0.12,-47,10.686,2.09,-70,1,1
7.525,2.143,-64,1.077,0.083,-46,10.764,2.08,-70,1,1
7.584,2.097,-64,1.047,0.15,-46,10.803,2.047,-70,1,1
7.555,2.19,-64,1.077,0.132,-47,10.764,2.152,-70,1,1
7.624,2.135,-59,1.077,0.153,-47,10.764,1.895,-70,1,1
7.584,2.074,-64,1.077,0.136,-47,10.881,1.818,-69,1,1
7.613,2.122,-63,1.077,0.146,-46,10.881,1.847,-69,1,1
7.584,2.154,-64,0.989,0.17,-47,10.764,1.775,-69,1,1
7.584,2.19,-64,1.077,0.146,-47,10.725,1.778,-70,1,1
7.731,2.083,-64,1.038,0.15,-46,10.764,1.687,-68,1,1
7.613,2.117,-64,1.077,0.116,-46,10.881,1.659,-68,1,1
7.643,2.067,-64,1.135,0.138,-47,10.803,1.657,-69,1,1
7.555,2.127,-64,0.989,0.159,-47,10.803,1.672,-69,1,1
7.653,2.163,-59,1.018,0.17,-47,10.881,1.617,-69,1,1
7.643,2.297,-64,1.077,0.162,-46,10.764,1.731,-69,1,1
7.672,2.322,-64,1.018,0.115,-47,10.842,1.723,-68,1,1
7.643,2.34,-64,1.106,0.136,-47,10.764,1.745,-69,1,1
7.613,2.511,-59,1.106,0.121,-47,10.725,1.767,-69,1,1
7.555,2.36,-64,0.999,0.082,-46,10.842,1.695,-69,1,1
7.525,2.396,-65,1.047,0.14,-47,10.803,1.755,-69,1,1
7.555,2.343,-65,1.047,0.14,-47,10.92,1.642,-69,1,1
7.555,2.36,-65,1.077,0.126,-46,10.764,1.717,-69,1,1
7.731,2.276,-64,1.077,0.163,-46,10.725,1.779,-69,1,1
7.789,2.031,-63,1.077,0.146,-47,10.764,1.717,-69,1,1
7.76,2.3,-63,0.998,0.138,-46,10.842,1.678,-69,1,1
7.789,2.151,-65,0.959,0.164,-47,10.803,1.741,-69,1,1
7.672,2.189,-64,0.989,0.15,-47,10.842,1.723,-69,1,1
7.731,2.273,-65,1.018,0.138,-47,10.803,1.756,-69,1,1
7.701,2.234,-65,0.999,0.152,-46,10.881,1.731,-69,1,1
7.613,2.18,-65,1.106,0.136,-46,10.725,1.778,-69,1,1
7.643,2.145,-64,1.077,0.159,-46,10.842,1.707,-69,1,1
7.643,2.069,-65,1.047,0.154,-47,10.842,1.779,-69,1,1
7.613,2.125,-65,1.077,0.135,-47,10.725,1.808,-69,1,1
7.642,2.142,-65,1.077,0.164,-47,10.881,1.761,-69,1,1
7.643,2.086,-65,1.106,0.121,-47,10.803,1.757,-69,1,1
7.741,1.985,-64,1.116,0.175,-47,10.881,1.717,-67,1,1
7.613,2.047,-64,1.106,0.121,-47,10.842,1.68,-68,1,1
7.584,2.077,-65,1.018,0.15,-47,10.803,1.683,-69,1,1
7.701,2.097,-65,1.018,0.132,-47,10.842,1.693,-69,1,1
7.672,2.149,-65,1.038,0.17,-47,10.881,1.688,-68,1,1
7.672,2.131,-65,1.018,0.15,-47,10.842,1.665,-69,1,1
8.063,1.999,-60,1.018,0.131,-47,10.842,1.693,-68,1,1
7.848,2.025,-64,1.047,0.177,-47,10.881,1.648,-68,1,1
7.672,2.128,-64,1.018,0.188,-47,14.319,0,-69,1,1
7.76,2.109,-64,1.077,0.135,-47,10.725,1.752,-69,1,1
7.701,2.115,-64,1.077,0.153,-47,10.842,1.72,-69,1,1
7.613,2.169,-60,1.018,0.154,-47,10.803,1.698,-69,1,1
7.613,2.099,-65,1.047,0.116,-47,10.842,1.696,-69,1,1
7.701,1.935,-60,1.077,0.126,-47,10.725,1.998,-69,1,1
7.701,1.98,-64,1.047,0.132,-47,10.92,1.829,-69,1,1
7.789,2.077,-63,1.106,0.162,-47,10.842,1.765,-69,1,1
7.701,2.04,-64,1.018,0.15,-47,10.881,1.761,-69,1,1
7.789,1.788,-64,1.077,0.153,-47,10.803,1.814,-69,1,1
7.76,1.99,-64,1.077,0.138,-46,10.842,1.694,-69,1,1
7.379,2.404,-65,1.077,0.116,-47,10.881,1.76,-69,1,1
7.379,2.465,-66,1.077,0.15,-47,10.764,1.891,-69,1,1
7.32,0.04,-67,1.047,0.174,-47,10.842,1.825,-69,1,1
