predicted_x,predicted_y,x,y
1.3066666666666669,1.36,1,1
1.38,1.82,1,2
1.325,2.835,1,3
1.2733333333333332,7.3,1,7
1.2,7.68,1,8
2.216666666666667,1.37,2,1
1.79,1.825,2,2
2.065,2.895,2,3
1.6733333333333331,7.29,2,7
1.79,7.71,2,8
3.21,1.315,3,1
2.54,1.69,3,2
3.185,2.8475,3,3
3.64,4.37,3,4
2.76,4.62,3,5
2.81,6.4,3,6
2.76,7.18,3,7
3.04,7.75,3,8
3.99,1.41,4,1
3.92,1.93,4,2
4.115,3.0175,4,3
3.77,3.915,4,4
3.95,7.88,4,8
4.88,1.24,5,1
5.19,1.86,5,2
4.95,3.595,5,4
4.81,4.92,5,5
5.11,6.17,5,6
5.11,7.28,5,7
5.01,7.83,5,8
5.61,1.18,6,1
5.86,2.3275,6,2
5.73,3.0475,6,3
5.78,3.93,6,4
5.74,4.8,6,5
5.79,6.09,6,6
5.77,7.76,6,8
